state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
Washington,0,0.0,0.5,1.0,F,0.5,Married,Corporate L3,Offer1,Agent,Two-Door Car,0.5
Arizona,0,0.5,0.5,0.0,F,0.5,Single,Personal L3,Offer3,Agent,Four-Door Car,0.5
Nevada,0,1.0,0.5,1.0,F,0.5,Married,Personal L3,Offer1,Agent,Two-Door Car,0.5
California,0,0.0,0.5,0.0,M,0.5,Married,Corporate L2,Offer1,Call Center,SUV,0.5
Washington,0,0.0,0.5,1.0,M,0.0,Single,Personal L1,Offer1,Agent,Four-Door Car,0.5
Oregon,1,0.0,0.5,1.0,F,0.0,Married,Personal L3,Offer2,Web,Two-Door Car,0.5
Oregon,1,0.0,0.5,1.0,F,0.5,Married,Corporate L3,Offer1,Agent,Four-Door Car,0.5
Arizona,0,1.0,1.0,0.0,M,1.0,Single,Corporate L3,Offer1,Agent,Four-Door Car,0.5
Oregon,1,0.0,0.5,0.0,M,0.5,Divorced,Corporate L3,Offer1,Agent,Four-Door Car,0.5
Oregon,0,0.5,0.5,1.0,F,1.0,Married,Special L2,Offer2,Branch,Four-Door Car,0.5
California,0,0.0,0.5,0.0,M,0.5,Single,Personal L3,Offer1,Agent,Four-Door Car,0.0
California,0,0.0,0.5,0.0,F,0.5,Married,Personal L3,Offer2,Agent,SUV,0.5
California,0,1.0,1.0,1.0,M,1.0,Married,Corporate L1,Offer2,Agent,Four-Door Car,0.5
Arizona,1,0.0,0.0,1.0,M,0.5,Married,Corporate L3,Offer2,Branch,SUV,0.5
California,0,0.0,0.5,1.0,M,1.0,Single,Corporate L3,Offer4,Call Center,Four-Door Car,0.5
Oregon,0,0.0,0.5,1.0,F,0.0,Married,Corporate L2,Offer2,Branch,Four-Door Car,0.5
Nevada,0,0.0,0.0,0.0,M,0.5,Married,Personal L3,Offer2,Call Center,Two-Door Car,0.5
California,0,0.0,0.5,0.0,M,0.5,Married,Personal L2,Offer3,Call Center,SUV,0.5
Oregon,0,0.0,0.5,1.0,M,1.0,Married,Personal L2,Offer2,Branch,Four-Door Car,0.5
California,0,1.0,0.0,1.0,F,0.5,Married,Corporate L2,Offer1,Call Center,Four-Door Car,0.0
Oregon,0,0.0,0.0,1.0,M,0.5,Single,Personal L2,Offer1,Branch,Two-Door Car,0.5
Washington,0,0.5,0.5,0.0,F,0.5,Divorced,Personal L3,Offer4,Call Center,Four-Door Car,0.5
Arizona,1,0.0,0.5,0.0,M,0.5,Divorced,Personal L3,Offer1,Agent,Four-Door Car,0.5
Nevada,0,0.0,0.5,0.0,F,0.5,Single,Corporate L3,Offer1,Branch,Four-Door Car,0.5
California,0,0.0,0.5,0.0,F,0.5,Married,Corporate L2,Offer2,Branch,Four-Door Car,0.5
Oregon,0,0.0,0.5,1.0,M,0.5,Married,Personal L3,Offer2,Call Center,Four-Door Car,1.0
California,0,1.0,0.5,0.0,F,0.5,Single,Personal L3,Offer1,Agent,Four-Door Car,0.0
Washington,0,0.5,1.0,0.0,F,1.0,Married,Corporate L1,Offer1,Branch,SUV,0.5
Arizona,0,1.0,0.5,1.0,F,0.5,Single,Personal L3,Offer1,Call Center,Four-Door Car,1.0
Oregon,0,0.5,1.0,1.0,F,0.5,Married,Personal L3,Offer2,Branch,Four-Door Car,0.0
Arizona,0,0.0,0.5,1.0,M,0.5,Married,Personal L2,Offer4,Call Center,Four-Door Car,0.0
Nevada,0,0.5,0.0,1.0,M,1.0,Married,Corporate L2,Offer2,Agent,Luxury,0.5
California,0,0.0,0.5,0.0,M,1.0,Married,Personal L3,Offer1,Call Center,Four-Door Car,0.5
Washington,0,0.0,0.5,1.0,M,0.5,Married,Corporate L2,Offer1,Agent,Two-Door Car,0.0
Oregon,0,0.0,0.5,1.0,F,0.0,Married,Corporate L1,Offer3,Web,Four-Door Car,0.5
Arizona,0,0.0,0.0,1.0,F,1.0,Married,Personal L1,Offer1,Branch,Four-Door Car,0.5
California,0,1.0,0.5,1.0,M,0.5,Married,Personal L3,Offer1,Agent,Four-Door Car,0.0
Oregon,0,0.5,1.0,1.0,F,0.5,Married,Personal L3,Offer2,Web,Four-Door Car,0.0
Oregon,0,0.5,0.5,0.0,M,0.5,Single,Personal L2,Offer3,Agent,Two-Door Car,0.0
Arizona,0,0.0,0.0,1.0,M,0.0,Divorced,Personal L3,Offer1,Call Center,Four-Door Car,0.5
